Wall time,Step,Value
1642654625.0471706,30507,-32.51231002807617
1642654685.2859426,30612,129.93301391601562
1642654739.0522585,30702,81.01841735839844
1642654786.727869,30781,45.686241149902344
1642654925.3504665,31002,94.47573852539062
1642655030.167046,31170,-31.497943878173828
1642655045.940137,31187,-64.09758758544922
1642655128.2718298,31327,66.95172119140625
1642655172.7728724,31373,-38.61130905151367
1642655184.9156961,31382,-86.12449645996094
1642655256.6076784,31502,109.65467071533203
1642655270.2917643,31513,-89.00109100341797
1642655293.4736688,31549,19.38671875
1642655308.7157602,31567,-52.389068603515625
1642655374.700148,31672,-52.73133087158203
1642655463.162132,31831,281.119873046875
1642655487.816206,31867,-12.720243453979492
1642655518.8537748,31913,-3.533992290496826
1642655549.5218894,31961,2.2634334564208984
1642655569.1053731,31988,-22.85256576538086
1642655583.270987,32003,-59.6677131652832
1642655602.3856263,32026,-47.727359771728516
1642655639.8157318,32091,86.91380310058594
1642655667.976625,32121,-30.39614486694336
1642655684.0067217,32138,-76.69456481933594
1642655735.89858,32213,-78.27175903320312
1642655782.7970212,32275,-54.881893157958984
1642655801.360321,32298,-50.04218292236328
1642655861.020766,32389,58.82685089111328
1642655913.8675978,32471,93.47007751464844
1642655930.224313,32489,-67.7098159790039
1642655939.0639749,32493,-91.83143615722656
1642655959.4267404,32520,-35.59934997558594
1642656083.3348737,32732,134.2973175048828
1642656097.7294633,32746,-83.02293395996094
1642656122.0935268,32778,-59.07391357421875
1642656141.0758684,32802,-33.808475494384766
1642656184.229647,32861,-72.50669860839844
1642656199.7326648,32879,-52.45553970336914
1642656270.918001,32993,51.502601623535156
1642656284.6287916,33007,-67.73822784423828
1642656366.481906,33106,-59.75281524658203
1642656379.7603972,33119,-69.24649810791016
1642656413.378592,33160,-46.469200134277344
1642656430.0015516,33180,-51.85403823852539
1642656475.0758755,33246,46.4964599609375
